EffectiveTime,FieldName,Region,Value
01-Jan-2022 00:00:00,SYSTEM_DEMAND,ROI,3130
01-Jan-2022 00:15:00,SYSTEM_DEMAND,ROI,3129
01-Jan-2022 00:30:00,SYSTEM_DEMAND,ROI,3089
01-Jan-2022 00:45:00,SYSTEM_DEMAND,ROI,3036
01-Jan-2022 01:00:00,SYSTEM_DEMAND,ROI,2989
01-Jan-2022 01:15:00,SYSTEM_DEMAND,ROI,2967
01-Jan-2022 01:30:00,SYSTEM_DEMAND,ROI,2914
01-Jan-2022 01:45:00,SYSTEM_DEMAND,ROI,2857
01-Jan-2022 02:00:00,SYSTEM_DEMAND,ROI,2819
01-Jan-2022 02:15:00,SYSTEM_DEMAND,ROI,2781
01-Jan-2022 02:30:00,SYSTEM_DEMAND,ROI,2742
01-Jan-2022 02:45:00,SYSTEM_DEMAND,ROI,2691
01-Jan-2022 03:00:00,SYSTEM_DEMAND,ROI,2676
01-Jan-2022 03:15:00,SYSTEM_DEMAND,ROI,2651
01-Jan-2022 03:30:00,SYSTEM_DEMAND,ROI,2611
01-Jan-2022 03:45:00,SYSTEM_DEMAND,ROI,2582
01-Jan-2022 04:00:00,SYSTEM_DEMAND,ROI,2569
01-Jan-2022 04:15:00,SYSTEM_DEMAND,ROI,2582
01-Jan-2022 04:30:00,SYSTEM_DEMAND,ROI,2559
01-Jan-2022 04:45:00,SYSTEM_DEMAND,ROI,2533
01-Jan-2022 05:00:00,SYSTEM_DEMAND,ROI,2527
01-Jan-2022 05:15:00,SYSTEM_DEMAND,ROI,2523
01-Jan-2022 05:30:00,SYSTEM_DEMAND,ROI,2532
01-Jan-2022 05:45:00,SYSTEM_DEMAND,ROI,2523
01-Jan-2022 06:00:00,SYSTEM_DEMAND,ROI,2516
01-Jan-2022 06:15:00,SYSTEM_DEMAND,ROI,2554
01-Jan-2022 06:30:00,SYSTEM_DEMAND,ROI,2547
01-Jan-2022 06:45:00,SYSTEM_DEMAND,ROI,2535
01-Jan-2022 07:00:00,SYSTEM_DEMAND,ROI,2561
01-Jan-2022 07:15:00,SYSTEM_DEMAND,ROI,2572
01-Jan-2022 07:30:00,SYSTEM_DEMAND,ROI,2584
01-Jan-2022 07:45:00,SYSTEM_DEMAND,ROI,2628
01-Jan-2022 08:00:00,SYSTEM_DEMAND,ROI,2636
01-Jan-2022 08:15:00,SYSTEM_DEMAND,ROI,2646
01-Jan-2022 08:30:00,SYSTEM_DEMAND,ROI,2642
01-Jan-2022 08:45:00,SYSTEM_DEMAND,ROI,2681
01-Jan-2022 09:00:00,SYSTEM_DEMAND,ROI,2726
01-Jan-2022 09:15:00,SYSTEM_DEMAND,ROI,2787
01-Jan-2022 09:30:00,SYSTEM_DEMAND,ROI,2849
01-Jan-2022 09:45:00,SYSTEM_DEMAND,ROI,2936
01-Jan-2022 10:00:00,SYSTEM_DEMAND,ROI,2991
01-Jan-2022 10:15:00,SYSTEM_DEMAND,ROI,3059
01-Jan-2022 10:30:00,SYSTEM_DEMAND,ROI,3117
01-Jan-2022 10:45:00,SYSTEM_DEMAND,ROI,3178
01-Jan-2022 11:00:00,SYSTEM_DEMAND,ROI,3234
01-Jan-2022 11:15:00,SYSTEM_DEMAND,ROI,3296
01-Jan-2022 11:30:00,SYSTEM_DEMAND,ROI,3328
01-Jan-2022 11:45:00,SYSTEM_DEMAND,ROI,3386
01-Jan-2022 12:00:00,SYSTEM_DEMAND,ROI,3443
01-Jan-2022 12:15:00,SYSTEM_DEMAND,ROI,3495
01-Jan-2022 12:30:00,SYSTEM_DEMAND,ROI,3551
01-Jan-2022 12:45:00,SYSTEM_DEMAND,ROI,3589
01-Jan-2022 13:00:00,SYSTEM_DEMAND,ROI,3624
01-Jan-2022 13:15:00,SYSTEM_DEMAND,ROI,3640
01-Jan-2022 13:30:00,SYSTEM_DEMAND,ROI,3647
01-Jan-2022 13:45:00,SYSTEM_DEMAND,ROI,3611
01-Jan-2022 14:00:00,SYSTEM_DEMAND,ROI,3608
01-Jan-2022 14:15:00,SYSTEM_DEMAND,ROI,3572
01-Jan-2022 14:30:00,SYSTEM_DEMAND,ROI,3582
01-Jan-2022 14:45:00,SYSTEM_DEMAND,ROI,3549
01-Jan-2022 15:00:00,SYSTEM_DEMAND,ROI,3567
01-Jan-2022 15:15:00,SYSTEM_DEMAND,ROI,3545
